epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,10643.6,0.71847,0.59813,0.94788,0.98873,0.997,0.99485,0.75917,0.92846,0.50224,0.95553,0.000101525,0.000101525,0.000101525
163,10708.2,0.71324,0.64396,0.94891,0.99496,0.99323,0.99492,0.76472,0.91251,0.50012,0.95084,9.905e-05,9.905e-05,9.905e-05
164,10772.8,0.74928,0.67853,0.97902,0.99496,0.99323,0.99492,0.76472,0.91251,0.50012,0.95084,9.6575e-05,9.6575e-05,9.6575e-05
165,10837.3,0.71348,0.65991,0.94443,0.994,0.99464,0.99492,0.76174,0.92282,0.50147,0.95473,9.41e-05,9.41e-05,9.41e-05
166,10901.9,0.69631,0.60473,0.95506,0.99433,0.99503,0.99492,0.75138,0.96222,0.5069,0.96825,9.1625e-05,9.1625e-05,9.1625e-05
167,10966.7,0.70544,0.59224,0.93377,0.99405,0.99505,0.99492,0.73425,1.01506,0.51611,0.98865,8.915e-05,8.915e-05,8.915e-05
168,11031.1,0.6798,0.64093,0.91764,0.99145,0.99621,0.99485,0.72311,1.06249,0.52797,1.00833,8.6675e-05,8.6675e-05,8.6675e-05
169,11095.7,0.70113,0.6516,0.96816,0.99145,0.99621,0.99485,0.72311,1.06249,0.52797,1.00833,8.42e-05,8.42e-05,8.42e-05
170,11160.3,0.63107,0.74827,0.93619,0.99146,0.99612,0.99443,0.71126,1.1142,0.54064,1.03047,8.1725e-05,8.1725e-05,8.1725e-05
171,11224.8,0.77686,0.63,0.97301,0.99139,0.99582,0.99431,0.70617,1.13208,0.54717,1.03931,7.925e-05,7.925e-05,7.925e-05
172,11289.5,0.6921,0.60932,0.93041,0.9923,0.99612,0.99431,0.71017,1.11595,0.54313,1.03403,7.6775e-05,7.6775e-05,7.6775e-05
173,11354.1,0.64,0.57623,0.90943,0.99282,0.9966,0.99439,0.71705,1.08282,0.53542,1.02122,7.43e-05,7.43e-05,7.43e-05
174,11418.8,0.67178,0.58906,0.91391,0.99362,0.99665,0.99439,0.72513,1.04358,0.52549,1.00607,7.1825e-05,7.1825e-05,7.1825e-05
175,11483.4,0.72788,0.57584,0.95826,0.99362,0.99665,0.99439,0.72513,1.04358,0.52549,1.00607,6.935e-05,6.935e-05,6.935e-05
176,11548.3,0.64905,0.62054,0.91781,0.99363,0.99695,0.99458,0.73141,1.03421,0.5208,1.0017,6.6875e-05,6.6875e-05,6.6875e-05
177,11613.2,0.66991,0.57497,0.94837,0.99368,0.99685,0.99466,0.73445,1.02812,0.51717,0.99872,6.44e-05,6.44e-05,6.44e-05
178,11677.5,0.70321,0.59854,0.93526,0.99398,0.99718,0.99477,0.74395,0.99347,0.50766,0.98519,6.1925e-05,6.1925e-05,6.1925e-05
